TEAM,NAME,WEIGHT (kg),HEIGHT (m),AGE,BIRTH DATE,PRIMARY ROLE,NATIONALITY,TOTAL CAPS,6N CAPS,TOTAL TRIES,6N TRIES,TOTAL DROPS,6N DROPS,TOTAL PENALTY,6N PENALTY,TOTAL CONVERSIONS,6N CONVERSIONS,TOTAL YC,6N YC,TOTAL RC,6N RC,TOTAL MIN PLAYED,6N MIN PLAYED,TOTAL STARTING,6N STARTER,STATUS,FIRST INTERNATIONAL,LAST INTERNATIONAL
ENG,Alec Hepburn,114,1.86,31,30/03/93,P,Australia,7,2,0,0,0,0,0,0,0,0,0,0,0,0,134,12,2,0,Switched,2018,2018
ENG,Alex Coles,117,2.07,25,21/09/99,L,England,7,2,0,0,0,0,0,0,0,0,0,0,0,0,208,27,2,0,Active,2022,2024
ENG,Alex Dombrandt,119,1.93,27,29/04/97,N8,England,20,12,1,1,0,0,0,0,0,0,0,0,0,0,914,602,9,7,Active,2021,2024
ENG,Alex Goode,92,1.81,36,07/05/88,FB,England,27,10,2,0,0,0,3,1,2,0,0,0,0,0,1434,546,17,6,Active,2012,2016
ENG,Alex Mitchell,83,1.80,27,25/05/97,SH,England,23,13,4,2,0,0,0,0,0,0,0,0,0,0,1231,670,18,9,Active,2021,2025
ENG,Anthony Watson,93,1.88,31,26/02/94,W,England,62,28,23,14,0,0,0,0,0,0,2,0,0,0,4412,2013,56,26,Inactive,2015,2025
ENG,Ben Curry,106,1.87,26,15/06/98,FL,England,11,9,0,0,0,0,0,0,0,0,0,0,0,0,409,361,3,3,Active,2021,2025
ENG,Ben Earl,102,1.89,27,07/01/98,FL,England,42,21,6,3,0,0,0,0,0,0,0,0,0,0,2382,976,26,10,Active,2020,2025
ENG,Ben Moon,115,1.81,35,14/07/89,P,England,8,4,0,0,0,0,0,0,0,0,0,0,0,0,336,138,4,2,Inactive,2018,2019
ENG,Ben Spencer,89,1.80,32,31/07/92,SH,England,10,2,0,0,0,0,0,0,0,0,0,0,0,0,196,41,2,0,Active,2019,2024
ENG,Ben Te'o,105,1.88,38,27/01/87,C,New Zealand,19,12,2,2,0,0,0,0,0,0,0,0,0,0,732,463,8,5,Inactive,2016,2019
ENG,Ben Youngs,88,1.78,35,05/09/89,SH,England,128,54,20,9,0,0,0,0,0,0,1,0,0,0,6820,2856,95,40,Inactive,2010,2023
ENG,Beno Obano,120,1.83,30,25/10/94,P,England,4,2,0,0,0,0,0,0,0,0,0,0,0,0,63,46,0,0,Active,2021,2024
ENG,Billy Twelvetrees,106,1.91,36,15/11/88,C,England,22,13,3,1,0,0,0,0,0,0,0,0,0,0,1121,629,13,7,Inactive,2013,2015
ENG,Billy Vunipola,134,1.91,32,03/11/92,N8,Australia,75,26,8,3,0,0,0,0,0,0,3,1,1,0,4675,1868,8,3,Active,2013,2023
ENG,Brad Shields,113,1.94,33,02/04/91,FL,New Zealand,8,3,2,2,0,0,0,0,0,0,0,0,0,0,421,103,5,2,Active,2018,2019
ENG,Cadan Murley,96,1.81,25,31/07/99,W,England,1,1,1,1,0,0,0,0,0,0,0,0,0,0,80,80,1,1,Active,2025,2025
ENG,Chandler Cunningham-South,120,1.95,21,18/03/03,FL,England,16,9,5,2,0,0,0,0,0,0,0,0,0,0,681,221,6,0,Active,2024,2025
ENG,Charlie Ewels,112,1.98,29,29/06/95,L,England,32,12,2,0,0,0,0,0,0,0,0,0,2,1,1265,441,15,6,Active,2016,2022
ENG,Chris Ashton,93,1.83,37,29/03/87,W,England,44,18,20,7,0,0,0,0,0,0,1,0,1,0,3207,1338,41,17,Inactive,2010,2019
ENG,Chris Robshaw,112,1.88,38,04/06/86,FL,England,66,30,2,1,0,0,0,0,0,0,0,0,0,0,5135,2327,66,30,Inactive,2009,2018
ENG,Courtney Lawes,115,2.01,36,23/02/89,L,England,105,39,2,0,0,0,0,0,0,0,1,0,0,0,6216,2225,77,27,Active,2009,2023
ENG,Dan Cole,123,1.90,37,09/05/87,P,England,120,55,3,2,0,0,0,0,0,0,4,2,0,0,6915,3289,91,43,Active,2010,2024
ENG,Dan Robson,82,1.73,32,14/03/92,SH,England,16,10,2,1,0,0,0,0,0,0,0,0,0,0,272,131,0,0,Active,2019,2021
ENG,Danny Care,87,1.72,38,02/01/87,SH,England,101,42,15,9,3,3,0,0,0,0,3,2,0,0,4013,1764,43,18,Inactive,2008,2024
ENG,Danny Cipriani,92,1.85,37,02/11/87,FH,England,16,6,3,1,0,0,11,4,8,4,0,0,0,0,554,149,5,1,Inactive,2008,2018
ENG,Dave Attwood,123,2.01,37,05/04/87,L,England,26,9,0,0,0,0,0,0,0,0,0,0,0,0,1010,307,12,4,Active,2010,2018
ENG,David Ribbans,121,2.02,29,28/08/95,L,South Africa,11,2,0,0,0,0,0,0,0,0,0,0,0,0,375,74,5,1,Active,2022,2023
ENG,Don Armand,115,1.81,36,23/09/88,L,Zimbabwe,2,1,0,0,0,0,0,0,0,0,0,0,0,0,23,14,0,0,Inactive,2017,2022
ENG,Dylan Hartley,110,1.85,38,24/03/86,H,New Zealand,97,49,4,0,0,0,0,0,0,0,3,0,0,0,5026,2655,72,40,Inactive,2008,2018
ENG,Elliot Daly,98,1.85,32,08/10/92,C,England,74,38,20,11,1,0,7,2,2,1,1,1,1,0,4943,2372,61,28,Active,2016,2025
ENG,Ellis Genge,117,1.86,30,16/02/95,P,England,71,33,6,2,0,0,0,0,0,0,2,1,0,0,3322,1526,47,20,Active,2016,2025
ENG,Ethan Roots,113,1.89,27,10/11/97,FL,New Zealand,4,4,0,0,0,0,0,0,0,0,1,1,0,0,214,214,3,3,Active,2024,2024
ENG,Fin Baxter,116,1.85,23,12/02/02,P,England,11,5,1,1,0,0,0,0,0,0,0,0,0,0,324,101,1,0,Active,2024,2025
ENG,Fin Smith,87,1.78,22,11/05/02,FH,England,12,8,0,0,0,0,1,1,13,13,0,0,0,0,418,344,4,4,Active,2024,2025
ENG,Fraser Dingwall,93,1.88,25,07/04/99,C,England,4,4,1,1,0,0,0,0,0,0,0,0,0,0,313,313,4,4,Active,2024,2025
ENG,Freddie Steward,105,1.96,24,05/12/00,FB,England,36,13,8,2,0,0,0,0,0,0,1,0,1,1,2763,983,36,13,Active,2021,2025
ENG,Geoff Parling,110,2.01,41,28/10/83,L,England,32,12,1,1,0,0,0,0,0,0,0,0,0,0,2039,735,26,9,Inactive,2012,2015
ENG,George Ford,86,1.78,31,16/03/93,FH,England,104,48,10,6,6,2,71,26,69,24,0,0,0,0,5584,2522,68,32,Active,2014,2025
ENG,George Furbank,93,1.82,28,17/10/96,FB,England,14,7,3,2,0,0,0,0,0,0,0,0,0,0,904,483,13,7,Active,2020,2024
ENG,George Kruis,117,1.97,35,22/02/90,L,England,44,21,3,2,0,0,0,0,0,0,1,0,0,0,2385,1276,29,17,Inactive,2014,2020
ENG,George Martin,124,1.98,23,18/06/01,FL,England,22,7,0,0,0,0,0,0,0,0,0,0,0,0,1201,327,15,4,Active,2021,2025
ENG,Harry Randall,79,1.72,27,18/12/97,SH,England,16,8,2,0,0,0,0,0,0,0,0,0,0,0,513,218,6,3,Active,2021,2025
ENG,Harry Williams,132,1.91,33,01/10/91,P,England,19,6,0,0,0,0,0,0,0,0,0,0,0,0,527,117,3,0,Active,2017,2021
ENG,Henry Arundell,96,1.83,22,08/11/02,FB,England,10,4,7,1,0,0,0,0,0,0,1,0,0,0,327,107,4,1,Active,2022,2023
ENG,Henry Pollock,102,1.88,20,14/01/05,FL,England,1,1,2,2,0,0,0,0,0,0,0,0,0,0,32,32,0,0,Active,2025,2025
ENG,Henry Slade,98,1.94,31,19/03/93,C,England,73,30,9,4,0,0,0,0,4,0,0,0,0,0,4608,2075,55,26,Active,2015,2025
ENG,Henry Thomas,120,1.88,33,30/10/91,P,England,6,4,0,0,0,0,0,0,0,0,0,0,0,0,49,33,0,0,Switched,2013,2014
ENG,Immanuel Feyi-Waboso,90,1.83,22,20/12/02,C,Wales,9,4,5,1,0,0,0,0,0,0,0,0,0,0,424,102,6,1,Active,2024,2024
ENG,Jack Clifford,109,1.91,32,12/02/93,N8,Australia,10,7,1,0,0,0,0,0,0,0,0,0,0,0,230,114,2,1,Inactive,2016,2017
ENG,Jack Nowell,98,1.81,31,11/04/93,W,England,44,29,13,8,0,0,0,0,0,0,0,0,0,0,2706,1765,33,22,Active,2014,2022
ENG,Jack Van Poortvliet,90,1.83,23,15/05/01,SH,England,18,7,2,0,0,0,0,0,0,0,0,0,0,0,818,333,12,5,Active,2022,2025
ENG,Jack Walker,109,1.83,28,06/05/96,H,England,8,5,0,0,0,0,0,0,0,0,0,0,0,0,117,28,1,0,Active,2023,2023
ENG,Jack Willis,112,1.90,28,24/12/96,FL,England,15,5,4,2,0,0,0,0,0,0,1,1,0,0,529,232,7,4,Active,2020,2023
ENG,James Haskell,114,1.94,39,02/04/85,FL,England,76,41,4,3,0,0,0,0,0,0,5,4,0,0,4402,2407,54,31,Inactive,2007,2019
ENG,Jamie Blamire,113,1.85,27,22/12/97,H,England,7,1,6,0,0,0,0,0,0,0,0,0,0,0,255,1,3,0,Active,2021,2023
ENG,Jamie George,114,1.83,34,20/10/90,H,England,101,47,15,6,0,0,0,0,0,0,1,0,0,0,5065,2318,64,27,Active,2015,2025
ENG,Joe Cokanasiga,114,1.92,27,15/11/97,W,Fiji,16,2,13,0,0,0,0,0,0,0,0,0,0,0,1104,91,14,1,Active,2018,2023
ENG,Joe Heyes,126,1.93,25,13/04/99,P,England,12,5,1,1,0,0,0,0,0,0,0,0,0,0,276,110,2,0,Active,2021,2025
ENG,Joe Launchbury,130,1.98,33,12/04/91,L,England,70,31,5,1,0,0,0,0,0,0,0,0,0,0,3943,1689,52,22,Active,2012,2022
ENG,Joe Marchant,89,1.83,28,16/07/96,C,England,28,8,4,0,0,0,0,0,0,0,0,0,0,0,1558,435,18,5,Active,2019,2023
ENG,Joe Marler,114,1.83,34,07/07/90,P,England,94,40,0,0,0,0,0,0,0,0,1,0,0,0,4138,1803,57,26,Inactive,2012,2024
ENG,Jonathan Joseph,95,1.83,33,21/05/91,C,England,54,23,17,10,0,0,0,0,0,0,0,0,0,0,3360,1591,43,23,Active,2012,2020
ENG,Jonny Hill,122,2.02,30,08/06/94,L,England,23,6,1,1,0,0,0,0,0,0,2,1,0,0,1183,274,15,4,Active,2020,2023
ENG,Jonny May,92,1.85,34,01/04/90,W,England,77,30,37,14,0,0,0,0,0,0,3,1,0,0,5737,2140,77,29,Active,2013,2023
ENG,Kieran Brookes,120,1.88,34,29/08/90,P,England,17,6,0,0,0,0,0,0,0,0,0,0,0,0,287,82,1,0,Active,2014,2016
ENG,Kyle Sinckler,122,1.83,31,30/03/93,P,England,69,31,4,2,0,0,0,0,0,0,0,0,0,0,3304,1593,47,23,Active,2016,2023
ENG,Lewis Ludlam,111,1.92,29,08/12/95,FL,England,25,8,2,0,0,0,0,0,0,0,0,0,0,0,1276,539,14,7,Active,2019,2023
ENG,Luke Cowan-Dickie,112,1.84,31,20/06/93,H,England,51,24,1,1,0,0,0,0,0,0,1,1,0,0,1651,733,15,9,Active,2015,2025
ENG,Luther Burrell,109,1.93,37,06/12/87,C,England,15,10,4,3,0,0,0,0,0,0,0,0,0,0,1043,755,14,10,Inactive,2014,2016
ENG,Mako Vunipola,130,1.80,34,14/01/91,P,New Zealand,79,41,4,2,0,0,0,0,0,0,1,0,0,0,3252,1563,37,17,Active,2012,2023
ENG,Manu Tuilagi,111,1.85,33,18/05/91,C,Samoa,60,19,20,6,0,0,0,0,0,0,0,0,1,1,3895,1180,52,15,Active,2011,2024
ENG,Marcus Smith,83,1.75,26,14/02/99,FH,Philippines,46,17,14,4,1,1,41,21,59,15,3,1,0,0,2838,1028,34,11,Active,2021,2025
ENG,Mark Wilson,112,1.91,35,06/10/89,FL,England,23,10,1,0,0,0,0,0,0,0,0,0,0,0,1272,638,15,9,Inactive,2017,2021
ENG,Maro Itoje,115,1.98,30,28/10/94,L,England,93,45,8,2,0,0,0,0,0,0,1,0,0,0,7308,3520,91,44,Active,2016,2025
ENG,Matt Mullan,112,1.83,38,23/02/87,P,England,20,4,0,0,0,0,0,0,0,0,0,0,0,0,503,49,4,0,Inactive,2010,2017
ENG,Max Malins,88,1.82,28,07/01/97,W,England,22,12,2,2,0,0,0,0,0,0,0,0,0,0,1091,707,13,9,Active,2020,2023
ENG,Mike Brown,93,1.83,39,04/09/85,FB,England,75,32,14,5,0,0,0,0,0,0,0,0,0,0,5119,2112,66,27,Active,2007,2018
ENG,Nathan Hughes,126,1.96,33,10/06/91,N8,Fiji,22,11,1,0,0,0,0,0,0,0,1,0,0,0,975,441,12,6,Active,2016,2019
ENG,Nic Dolly,103,1.82,25,11/06/99,H,Australia,2,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,Active,2021,2021
ENG,Nick Easter,115,1.93,46,15/08/78,N8,England,54,26,8,1,0,0,0,0,0,0,0,0,0,0,3764,1801,48,22,Inactive,2007,2016
ENG,Nick Isiekwe,120,2.01,26,20/04/98,L,England,16,7,0,0,0,0,0,0,0,0,0,0,0,0,361,249,4,3,Active,2017,2024
ENG,Ollie Chessum,118,2.00,24,06/09/00,L,England,28,16,2,1,0,0,0,0,0,0,1,1,0,0,1530,902,19,12,Active,2022,2025
ENG,Ollie Devoto,105,1.93,31,22/09/93,C,England,4,3,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,Active,2015,2016
ENG,Ollie Hassell-Collins,105,1.92,26,17/01/99,W,England,2,2,0,0,0,0,0,0,0,0,0,0,0,0,118,118,2,2,Active,2023,2023
ENG,Ollie Lawrence,104,1.80,25,18/09/99,C,England,35,15,6,5,0,0,0,0,0,0,0,0,0,0,1913,877,25,12,Active,2020,2025
ENG,Ollie Sleightholme,93,1.81,24,13/04/00,W,England,8,3,6,2,0,0,0,0,0,0,0,0,0,0,427,204,5,3,Active,2024,2025
ENG,Ollie Thorley,97,1.85,28,11/09/96,W,England,1,10,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,Active,2020,2020
ENG,Owen Farrell,94,1.88,33,24/09/91,FH,England,111,48,10,5,5,0,257,108,199,87,2,0,1,0,8042,3722,100,48,Active,2012,2023
ENG,Paul Hill,123,1.89,30,02/03/95,P,Germany,8,3,0,0,0,0,0,0,0,0,0,0,0,0,95,11,0,0,Active,2016,2021
ENG,Richard Wigglesworth,84,1.76,41,09/06/83,SH,England,33,13,1,1,0,0,0,0,0,0,0,0,0,0,983,409,9,4,Inactive,2008,2018
ENG,Sam Simmonds,108,1.84,30,10/11/94,N8,England,19,9,2,2,0,0,0,0,0,0,0,0,0,0,854,539,9,6,Active,2017,2022
ENG,Sam Underhill,110,1.91,28,22/07/96,FL,United States,41,13,4,0,0,0,0,0,0,0,1,1,0,0,2387,715,4,10,Active,2017,2024
ENG,Ted Hill,112,1.96,25,26/03/99,FL,England,4,2,0,0,0,0,0,0,0,0,0,0,0,0,49,12,0,0,Active,2018,2025
ENG,Teimana Harrison,108,1.89,32,05/09/92,N8,New Zealand,6,1,1,0,0,0,0,0,0,0,0,0,0,0,228,0,3,0,Active,2016,2016
ENG,Theo Dan,102,1.79,24,26/12/00,H,England,21,6,3,0,0,0,0,0,0,0,0,0,0,0,467,112,3,0,Active,2023,2025
ENG,Tom Croft,110,1.98,39,07/11/85,FL,England,37,19,4,2,0,0,0,0,0,0,0,0,0,0,2131,1003,24,10,Inactive,2009,2013
ENG,Tom Curry,110,1.85,26,15/06/98,FL,England,62,24,6,5,0,0,0,0,0,0,2,1,1,0,4095,1685,58,24,Active,2017,2025
ENG,Tom Dunn,109,1.87,32,12/11/92,H,England,4,2,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,Active,2020,2020
ENG,Tom Roebuck,98,1.88,24,07/01/01,W,Scotland,4,1,2,1,0,0,0,0,0,0,0,0,0,0,131,80,1,1,Active,2024,2025
ENG,Tom Willis,102,1.92,26,18/01/99,N8,England,6,5,1,1,0,0,0,0,0,0,0,0,0,0,206,180,3,3,Active,2023,2025
ENG,Tom Wood,113,1.93,38,03/11/86,FL,England,50,12,0,0,0,0,0,0,0,0,0,0,0,0,1798,527,22,12,Inactive,2011,2022
ENG,Tom Youngs,104,1.76,38,28/01/87,H,England,50,22,0,0,0,0,0,0,0,0,0,0,0,0,3102,1277,38,16,Inactive,2012,2015
ENG,Tommy Freeman,103,1.91,23,05/03/01,FB,England,21,10,7,6,0,0,0,0,0,0,0,0,0,0,1568,765,21,10,Active,2022,2025
ENG,Will Stuart,132,1.88,28,12/07/96,P,England,52,25,3,1,0,0,0,0,0,0,1,0,0,0,1814,772,24,10,Active,2020,2025
ENG,Willi Heinz,94,1.81,38,24/11/86,SH,New Zealand,13,4,0,0,0,0,0,0,0,0,0,0,0,0,377,108,4,1,Active,2019,2020
FRA,Adrien Pelissie,110,1.81,34,07/08/90,H,France,7,5,0,0,0,0,0,0,0,0,0,0,0,0,131,91,2,1,Active,2018,2018
FRA,Alexandre Flanquart,120,2.04,35,09/10/89,L,France,23,10,0,0,0,0,0,0,0,0,0,0,0,0,1050,527,13,7,Inactive,2013,2016
FRA,Alexandre Menini,109,1.82,41,05/08/83,P,France,6,1,0,0,0,0,0,0,0,0,0,0,0,0,298,41,5,1,Inactive,2014,2015
FRA,Alexandre Roumat,110,1.98,27,27/06/97,N8,France,10,7,1,0,0,0,0,0,0,0,0,0,0,0,394,160,4,2,Active,2024,2025
FRA,Anthony Belleau,86,1.77,28,08/04/96,FH,France,12,4,1,0,0,0,3,0,5,1,0,0,0,0,473,78,5,0,Inactive,2017,2019
FRA,Anthony Bouthier,86,1.82,32,16/06/92,FB,France,11,7,1,1,0,0,0,0,0,0,1,1,0,0,434,373,6,5,Active,2020,2021
FRA,Anthony Jelonch,108,1.95,28,28/07/96,FL,France,33,16,3,2,0,0,0,0,0,0,0,0,0,0,1954,827,25,10,Active,2017,2025
FRA,Antoine Burban,106,1.91,37,22/07/87,FL,France,4,2,0,0,0,0,0,0,0,0,0,0,0,0,143,92,1,1,Inactive,2013,2016
FRA,Antoine Dupont,86,1.74,28,15/11/96,SH,France,59,31,15,9,0,0,0,0,0,0,0,0,1,1,3613,2001,49,27,Active,2017,2025
FRA,Arthur Iturria,112,1.98,30,13/05/94,FL,France,15,8,1,0,0,0,0,0,0,0,0,0,0,0,984,500,13,6,Active,2017,2020
FRA,Arthur Retiere,80,1.73,27,01/08/97,W,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,Active,2020,2020
FRA,Arthur Vincent,92,1.83,25,30/09/99,C,France,18,9,1,1,0,0,0,0,0,0,0,0,0,0,1055,590,12,7,Active,2020,2021
FRA,Baptiste Couilloud,83,1.76,27,22/07/97,SH,France,20,5,4,0,0,0,0,0,0,0,0,0,0,0,596,39,5,0,Active,2018,2023
FRA,Baptiste Serin,83,1.82,30,20/06/94,SH,France,49,20,26,1,0,0,12,2,16,3,2,1,0,0,1599,475,17,5,Active,2016,2024
FRA,Bastien Chalureau,118,2.02,33,13/02/92,L,France,7,1,0,0,0,0,0,0,0,0,0,0,0,0,168,21,1,0,Active,2022,2023
FRA,Benjamin Fall,93,1.86,36,03/03/89,FB,France,14,8,3,1,0,0,0,0,1,1,0,0,1,0,953,529,12,7,Inactive,2009,2018
FRA,Benjamin Kayser,109,1.82,40,26/07/84,H,France,39,16,3,1,0,0,0,0,0,0,0,0,0,0,1339,533,11,4,Inactive,2008,2015
FRA,Bernard Le Roux,116,1.96,35,04/06/89,L,South Africa,47,20,0,0,0,0,0,0,0,0,2,1,0,0,2723,1278,32,17,Inactive,2013,2023
FRA,Boris Palu,113,1.94,29,04/02/96,L,France,2,2,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,Active,2020,2020
FRA,Brice Dulin,84,1.76,34,13/04/90,FB,France,37,13,9,6,0,0,1,0,0,0,1,0,0,0,2845,1065,35,13,Active,2012,2020
FRA,Cameron Woki,111,1.96,26,07/11/98,L,France,31,11,2,0,0,0,0,0,0,0,0,0,0,0,1723,496,24,7,Active,2020,2024
FRA,Camille Chat,101,1.78,29,18/12/95,H,France,34,15,2,1,0,0,0,0,0,0,1,1,0,0,963,303,8,0,Active,2016,2021
FRA,Camille Lopez,90,1.76,35,03/04/89,FH,France,28,12,0,0,3,1,40,30,19,9,0,0,0,0,1698,833,22,11,Active,2013,2019
FRA,Cedate Gomes Sa,113,1.85,31,07/08/93,P,Portugal,9,5,1,0,0,0,0,0,0,0,0,0,0,0,299,131,3,1,Active,2018,2019
FRA,Charles Ollivon,114,1.99,31,11/05/93,FL,France,46,21,16,9,0,0,0,0,0,0,2,1,0,0,3291,1523,41,20,Active,2014,2024
FRA,Christopher Tolofua,125,1.82,31,31/12/93,H,France,8,3,0,0,0,0,0,0,0,0,1,0,0,0,132,54,0,0,Active,2012,2017
FRA,Clement Maynadier,110,1.87,36,11/10/88,H,France,8,1,0,0,0,0,0,0,0,0,0,0,0,0,124,9,1,0,Active,2016,2018
FRA,Cyril Baille,118,1.82,31,15/09/93,P,France,57,34,5,1,0,0,0,0,0,0,0,0,0,0,2614,1731,41,29,Active,2016,2025
FRA,Cyril Cazeaux,117,1.98,30,10/02/95,L,France,4,1,0,0,0,0,0,0,0,0,0,0,0,0,115,21,1,0,Active,2020,2020
FRA,Damian Penaud,97,1.88,28,25/09/96,W,France,56,28,38,17,0,0,0,0,0,0,0,0,0,0,4142,2128,53,27,Active,2017,2025
FRA,Damien Chouly,106,1.92,39,27/11/85,FL,France,48,20,3,2,0,0,0,0,0,0,0,0,0,0,2485,999,28,11,Inactive,2007,2017
