TEAM,DATE,HOME / AWAY,OPPOSING TEAM,TOTAL POINTS GAINED,FINAL SCORE,TRIES,PENALTY TRY,CONVERSIONS,PENALTY KICK,DROP GOAL,KICK SUCCESS,METERS RUN,KICKS FROM HAND,PASSES,RUNS,POSSESSION 1H,POSSESSION 2H,TERRITORY 1H,TERRITORY 2H,CLEAN BREAKS,DEFENDERS BEATEN,OFFLOADS,RUCKS,RUCKS WON,MAULS,MAULS WON,TURNOVER CONCEDED,SCRUMS,SCRUMS WON,PACK WEIGHT,LINEOUTS,LINEOUTS WON,TACKLES MADE,TACKLES SUCCESS,PENALTIES CONCEDED,RED CARD,YELLOW CARD,FREE KICKS CONCEDED
FRA,12/02/22,HOME,IRE,4,30,2,0,1,6,0,88.00%,334,32,125,101,52.00%,43.00%,55.00%,48.00%,3,16,8,83,79,1,1,12,5,5,948,14,12,130,119,7,0,0,1
IRE,12/02/22,AWAY,FRA,1,24,3,0,3,1,0,100.00%,355,32,157,112,48.00%,57.00%,45.00%,52.00%,3,11,7,87,82,6,6,18,3,3,903,15,13,150,134,10,0,0,0
ITA,13/02/22,HOME,ENG,0,0,0,0,0,0,0,0.00%,288,24,127,82,31.00%,51.00%,46.00%,70.00%,5,10,8,67,62,8,7,13,13,10,905,20,17,197,178,12,0,0,0
ENG,13/02/22,AWAY,ITA,5,33,5,0,4,0,0,80.00%,691,21,208,144,69.00%,49.00%,54.00%,30.00%,10,19,9,112,108,8,7,20,4,4,939,17,15,106,96,12,0,0,2
SCOT,26/02/22,HOME,FRA,0,17,2,0,2,1,0,100.00%,596,11,190,135,55.00%,61.00%,61.00%,39.00%,3,25,5,104,95,4,3,16,9,6,922,9,7,87,68,12,0,0,1
FRA,26/02/22,AWAY,SCOT,5,36,6,0,3,0,0,38.00%,453,26,97,75,45.00%,39.00%,39.00%,61.00%,6,19,10,41,37,9,9,13,15,14,948,13,12,178,153,9,0,0,1
ENG,26/02/22,HOME,WALES,4,23,1,0,0,6,0,75.00%,414,24,162,132,60.00%,40.00%,51.00%,54.00%,2,19,6,113,110,2,2,12,5,3,922,8,6,184,164,13,0,0,1
WALES,26/02/22,AWAY,ENG,1,19,3,0,2,0,0,67.00%,461,19,226,153,40.00%,60.00%,49.00%,46.00%,5,20,14,117,109,7,7,12,5,5,914,17,14,187,168,13,0,1,0
IRE,27/02/22,HOME,ITA,5,57,9,0,6,0,0,67.00%,732,24,282,165,61.00%,60.00%,64.00%,65.00%,10,25,10,124,118,9,9,16,5,5,900,19,18,117,105,9,0,0,0
ITA,27/02/22,AWAY,IRE,0,6,0,0,0,2,0,67.00%,171,33,87,82,39.00%,40.00%,36.00%,35.00%,0,12,4,72,68,3,2,14,7,7,900,13,12,203,178,8,1,1,0
WALES,11/03/22,HOME,FRA,1,9,0,0,0,3,0,100.00%,369,39,158,113,47.00%,59.00%,45.00%,67.00%,1,8,6,90,84,3,3,12,12,9,941,9,9,126,114,9,0,0,2
FRA,11/03/22,AWAY,WALES,4,13,1,0,1,2,0,75.00%,282,30,98,98,53.00%,41.00%,55.00%,33.00%,4,12,10,69,68,4,3,15,6,5,948,14,13,136,131,8,0,0,1
ITA,12/03/22,HOME,SCOT,0,22,3,0,2,1,0,50.00%,542,41,222,126,50.00%,52.00%,53.00%,48.00%,7,29,9,98,91,3,3,12,6,6,898,12,11,178,138,7,0,0,0
SCOT,12/03/22,AWAY,ITA,5,33,5,0,4,0,0,80.00%,636,35,173,127,50.00%,48.00%,47.00%,52.00%,11,40,8,98,94,6,6,17,2,2,903,19,16,186,157,8,0,0,2
ENG,12/03/22,HOME,IRE,0,15,0,0,0,5,0,83.00%,214,24,69,59,46.00%,40.00%,48.00%,32.00%,1,7,4,45,42,7,7,6,10,7,913,15,13,163,137,8,1,0,2
IRE,12/03/22,AWAY,ENG,5,32,4,0,3,2,0,83.00%,555,22,192,143,54.00%,60.00%,52.00%,68.00%,8,26,11,89,87,4,2,17,1,1,894,9,9,82,75,15,0,0,2
WALES,19/03/22,HOME,ITA,1,21,3,0,3,0,0,100.00%,421,32,206,132,50.00%,57.00%,50.00%,51.00%,6,23,13,109,102,8,7,13,1,1,934,14,13,141,121,12,0,0,0
ITA,19/03/22,AWAY,WALES,4,22,1,0,1,5,0,86.00%,464,41,130,98,50.00%,43.00%,50.00%,49.00%,6,20,7,84,77,2,1,10,8,8,899,8,7,198,175,9,0,0,0
IRE,19/03/22,HOME,SCOT,5,26,4,0,3,0,0,75.00%,547,25,185,126,48.00%,5.00%,51.00%,55.00%,3,14,5,104,102,13,10,15,5,4,898,20,19,146,125,10,0,0,0
SCOT,19/03/22,AWAY,IRE,0,5,1,0,0,0,0,0.00%,414,25,179,110,52.00%,45.00%,49.00%,45.00%,5,21,5,88,84,7,7,14,6,4,910,13,12,170,156,15,0,1,1
FRA,19/03/22,HOME,ENG,4,25,3,0,2,2,0,67.00%,305,30,100,98,51.00%,39.00%,60.00%,27.00%,3,17,13,71,70,5,5,12,9,6,948,11,10,148,130,9,0,0,0
ENG,19/03/22,AWAY,FRA,0,13,1,0,1,2,0,100.00%,588,34,164,124,49.00%,61.00%,40.00%,73.00%,2,18,4,91,85,4,4,10,6,5,931,12,12,120,103,8,0,0,1
WALES,04/02/23,HOME,IRE,0,10,1,0,1,1,0,100.00%,421,25,177,140,40.00%,54.00%,46.00%,51.00%,6,17,10,102,98,5,3,14,4,3,920,13,10,217,184,15,0,1,1
IRE,04/02/23,AWAY,WALES,5,34,4,0,4,2,0,100.00%,436,29,154,133,60.00%,46.00%,54.00%,49.00%,6,33,5,107,103,11,11,8,9,6,906,15,15,172,155,13,0,0,2
ENG,04/02/23,HOME,SCOT,1,23,3,0,1,2,0,60.00%,559,37,207,178,58.00%,56.00%,68.00%,74.00%,2,22,7,130,125,5,5,9,2,2,922,16,14,126,101,10,0,0,1
SCOT,04/02/23,AWAY,ENG,5,29,4,0,3,1,0,80.00%,388,42,126,108,42.00%,44.00%,32.00%,26.00%,6,25,4,66,65,1,1,11,7,5,918,10,10,236,214,9,0,0,0
ITA,05/02/23,HOME,FRA,1,24,1,1,0,4,0,67.00%,391,26,202,147,53.00%,60.00%,44.00%,40.00%,3,18,4,105,103,6,5,12,6,5,891,22,20,159,122,7,0,0,0
FRA,05/02/23,AWAY,ITA,5,29,4,0,3,1,0,67.00%,417,25,135,107,47.00%,40.00%,56.00%,60.00%,6,37,11,70,65,6,6,12,2,2,956,9,7,187,169,18,0,1,1
IRE,11/02/23,HOME,FRA,5,32,4,0,3,2,0,83.00%,687,39,222,178,52.00%,56.00%,68.00%,61.00%,7,23,6,142,136,7,7,10,4,4,902,11,8,177,139,8,0,0,0
FRA,11/02/23,AWAY,IRE,0,19,1,0,1,3,1,80.00%,649,37,180,136,48.00%,44.00%,32.00%,39.00%,6,38,12,88,85,4,4,14,1,1,956,10,9,258,235,7,0,1,1
SCOT,11/02/23,HOME,WALES,5,35,5,0,2,2,0,57.00%,468,30,157,114,42.00%,58.00%,30.00%,46.00%,10,34,4,82,78,12,11,9,5,2,928,20,19,177,166,11,0,1,1
WALES,11/02/23,AWAY,SCOT,0,7,1,0,1,0,0,50.00%,308,25,182,129,58.00%,42.00%,70.00%,54.00%,1,11,8,107,104,8,7,10,3,3,903,14,11,169,135,17,0,2,0
ENG,12/02/23,HOME,ITA,5,31,4,1,2,0,0,50.00%,302,30,129,96,53.00%,44.00%,60.00%,59.00%,4,21,5,70,68,10,9,15,9,7,928,21,21,212,171,7,0,0,1
ITA,12/02/23,AWAY,ENG,0,14,2,0,2,0,0,100.00%,401,23,199,146,47.00%,56.00%,40.00%,41.00%,6,41,12,112,106,2,1,13,9,6,895,14,14,146,125,14,0,2,1
ITA,25/02/23,HOME,IRE,0,20,2,0,2,2,0,100.00%,462,19,188,108,56.00%,44.00%,42.00%,34.00%,6,24,3,81,75,4,3,16,8,7,891,14,13,189,171,10,0,0,1
IRE,25/02/23,AWAY,ITA,5,34,5,0,3,1,0,67.00%,512,23,186,134,44.00%,56.00%,58.00%,66.00%,9,18,7,94,94,10,9,13,5,4,909,12,11,141,117,10,0,0,2
WALES,25/02/23,HOME,ENG,0,10,1,0,1,1,0,100.00%,363,34,172,128,55.00%,47.00%,49.00%,42.00%,4,18,7,111,103,2,1,9,11,6,930,9,8,179,163,9,0,0,1
ENG,25/02/23,AWAY,WALES,4,20,3,0,1,1,0,33.00%,382,38,146,126,45.00%,53.00%,51.00%,58.00%,8,16,2,100,95,1,0,21,8,6,928,5,4,188,170,6,0,0,2
FRA,26/02/23,HOME,SCOT,5,32,4,0,3,2,0,83.00%,426,26,105,100,45.00%,45.00%,34.00%,45.00%,7,22,5,66,63,4,3,7,7,6,936,13,12,171,151,10,1,0,0
SCOT,26/02/23,AWAY,FRA,0,21,3,0,3,0,0,100.00%,426,20,177,124,55.00%,55.00%,66.00%,55.00%,3,20,8,90,86,10,10,17,5,4,922,18,16,147,125,9,1,0,1
ITA,11/03/23,HOME,WALES,0,17,2,0,2,1,0,100.00%,530,20,182,119,50.00%,60.00%,50.00%,54.00%,11,38,11,83,82,9,7,15,11,9,891,15,12,90,77,13,0,2,0
WALES,11/03/23,AWAY,ITA,4,29,3,1,2,1,0,60.00%,354,36,89,69,50.00%,40.00%,50.00%,46.00%,4,13,5,51,47,8,7,11,6,4,913,16,14,165,127,14,0,0,1
ENG,11/03/23,HOME,FRA,0,10,1,0,1,1,0,100.00%,446,32,145,111,47.00%,59.00%,55.00%,56.00%,1,20,3,95,89,3,2,18,5,5,928,13,13,142,115,11,0,0,0
FRA,11/03/23,AWAY,ENG,5,53,7,0,6,2,0,89.00%,506,42,105,108,53.00%,41.00%,45.00%,44.00%,9,27,11,71,68,2,2,15,9,4,931,14,12,144,124,12,0,0,3
SCOT,12/03/23,HOME,IRE,0,7,1,0,1,0,0,100.00%,477,19,201,122,49.00%,50.00%,43.00%,38.00%,2,27,10,103,100,4,4,15,8,7,930,11,7,172,161,10,0,0,0
IRE,12/03/23,AWAY,SCOT,4,22,3,0,2,1,0,75.00%,580,28,175,123,51.00%,50.00%,57.00%,62.00%,7,11,9,100,98,9,8,13,6,3,904,18,14,181,154,6,0,0,3
SCOT,18/03/23,HOME,ITA,5,26,4,0,3,0,0,75.00%,566,18,196,153,59.00%,48.00%,63.00%,43.00%,5,35,14,116,110,3,3,8,8,7,915,9,6,174,165,15,0,0,1
ITA,18/03/23,AWAY,SCOT,0,14,1,0,0,3,0,60.00%,398,19,210,129,41.00%,52.00%,37.00%,57.00%,3,9,6,98,95,6,6,16,5,3,886,15,12,230,195,10,0,1,1
FRA,18/03/23,HOME,WALES,5,41,5,0,5,2,0,100.00%,454,26,119,107,43.00%,50.00%,32.00%,67.00%,6,20,6,78,76,2,2,12,5,5,965,10,9,161,141,6,0,0,0
WALES,18/03/23,AWAY,FRA,1,28,4,0,4,0,0,100.00%,371,26,167,128,57.00%,50.00%,68.00%,33.00%,4,20,16,92,89,4,4,13,7,5,920,15,14,153,133,8,0,0,1
IRE,18/03/23,HOME,ENG,5,29,4,0,3,1,0,80.00%,471,34,172,128,62.00%,43.00%,57.00%,43.00%,10,34,3,104,102,7,7,19,5,4,901,14,12,154,139,7,0,0,0
ENG,18/03/23,AWAY,IRE,0,16,1,0,1,3,0,100.00%,282,33,126,104,38.00%,57.00%,43.00%,57.00%,1,15,4,85,82,7,5,11,9,6,931,11,9,181,147,13,1,1,1
FRA,02/02/24,HOME,IRE,0,17,2,0,2,1,0,75.00%,288,20,119,93,47.00%,42.00%,41.00%,57.00%,5,20,7,77,75,8,7,13,2,2,964,18,14,168,148,8,1,1,1
IRE,02/02/24,AWAY,FRA,5,38,5,0,5,1,0,80.00%,374,33,180,113,53.00%,58.00%,59.00%,43.00%,6,20,3,94,92,5,5,7,8,5,906,13,13,138,118,13,0,1,0
ITA,03/02/24,HOME,ENG,1,24,3,0,3,1,0,80.00%,334,24,146,98,34.00%,54.00%,42.00%,38.00%,6,19,8,72,70,2,2,11,7,6,901,15,12,187,162,11,0,1,0
ENG,03/02/24,AWAY,ITA,4,27,2,0,1,5,0,86.00%,327,31,153,119,66.00%,46.00%,58.00%,62.00%,4,25,4,98,97,9,9,10,4,2,918,12,11,127,108,8,0,1,1
WALES,03/02/24,HOME,SCOT,2,26,4,0,3,0,0,75.00%,445,33,194,140,46.00%,62.00%,55.00%,54.00%,6,20,5,110,110,7,6,11,4,3,924,20,14,169,156,4,0,0,1
SCOT,03/02/24,AWAY,WALES,4,27,3,0,3,2,0,100.00%,370,38,140,121,54.00%,38.00%,45.00%,46.00%,5,13,10,97,92,1,1,4,9,4,925,6,4,183,163,16,0,2,1
SCOT,10/02/24,HOME,FRA,1,16,1,0,1,3,0,100.00%,405,44,145,125,57.00%,55.00%,54.00%,51.00%,3,17,7,108,105,4,4,12,8,6,911,14,12,132,115,6,0,0,0
FRA,10/02/24,AWAY,SCOT,4,20,2,0,2,2,0,100.00%,331,41,118,89,43.00%,45.00%,46.00%,49.00%,3,17,4,19,16,2,2,15,4,4,946,10,8,170,153,9,0,1,1
ENG,10/02/24,HOME,WALES,4,16,2,0,0,2,0,50.00%,277,32,104,73,32.00%,56.00%,56.00%,66.00%,5,22,1,66,63,3,3,14,11,7,918,12,11,173,149,7,0,2,1
WALES,10/02/24,AWAY,ENG,1,14,1,1,1,0,0,100.00%,245,33,146,120,68.00%,44.00%,44.00%,34.00%,4,24,5,102,101,7,5,13,7,4,894,16,14,124,102,5,0,1,1
IRE,11/02/24,HOME,ITA,5,36,6,0,3,0,0,50.00%,606,27,255,168,59.00%,67.00%,51.00%,74.00%,12,33,12,124,119,8,8,14,8,8,922,13,13,105,88,11,0,0,1
ITA,11/02/24,AWAY,IRE,0,0,0,0,0,0,0,0.00%,243,23,100,79,41.00%,33.00%,49.00%,26.00%,1,17,4,65,63,0,0,16,5,4,905,14,9,235,202,9,0,1,2
IRE,24/02/24,HOME,WALES,5,31,4,0,4,1,0,100.00%,497,26,256,159,69.00%,46.00%,59.00%,49.00%,12,36,10,131,130,6,5,10,3,3,906,14,12,205,190,13,0,2,1
WALES,24/02/24,AWAY,IRE,0,4,0,1,0,0,0,0.00%,289,22,141,126,31.00%,54.00%,41.00%,51.00%,1,15,3,115,109,3,2,8,8,5,894,12,10,230,194,12,0,0,2
SCOT,24/02/24,HOME,ENG,4,30,3,0,3,3,0,100.00%,299,34,98,86,44.00%,48.00%,33.00%,52.00%,4,19,7,69,66,6,6,15,12,7,911,16,14,172,150,10,0,1,1
ENG,24/02/24,AWAY,SCOT,0,21,2,0,1,2,0,75.00%,380,31,149,102,56.00%,52.00%,67.00%,48.00%,4,22,2,82,80,8,6,22,3,3,912,14,13,124,105,5,0,0,3
FRA,25/02/24,HOME,ITA,2,13,1,0,1,2,0,100.00%,454,20,193,138,58.00%,47.00%,70.00%,44.00%,5,33,13,104,100,7,6,19,5,4,969,16,15,129,118,12,1,0,1
ITA,25/02/24,AWAY,FRA,2,13,1,0,1,2,0,75.00%,432,22,177,113,42.00%,53.00%,30.00%,56.00%,4,11,13,85,82,4,4,11,10,6,877,15,14,211,178,12,0,0,0
ITA,09/03/24,HOME,SCOT,4,31,3,0,2,4,0,86.00%,337,30,126,92,46.00%,36.00%,48.00%,49.00%,5,15,2,82,79,2,2,11,3,2,885,12,9,252,214,5,0,0,0
SCOT,09/03/24,AWAY,ITA,2,29,4,0,3,1,0,80.00%,681,25,249,179,54.00%,64.00%,52.00%,51.00%,6,38,19,132,129,3,3,16,5,5,904,10,10,146,131,12,0,0,0
ENG,09/03/24,HOME,IRE,4,23,3,0,1,1,1,33.00%,522,23,163,114,55.00%,50.00%,66.00%,54.00%,8,25,9,84,80,6,5,13,3,3,923,15,14,138,120,10,0,0,0
IRE,09/03/24,AWAY,ENG,1,22,2,0,0,4,0,67.00%,243,28,121,93,45.00%,50.00%,34.00%,46.00%,2,18,6,72,71,7,7,9,5,3,906,13,11,173,148,8,0,1,1
WALES,10/03/24,HOME,FRA,0,24,3,0,3,1,0,100.00%,352,25,163,92,38.00%,50.00%,41.00%,27.00%,5,13,4,74,72,2,2,14,7,4,919,11,9,200,174,7,0,0,0
FRA,10/03/24,AWAY,WALES,5,45,5,0,4,4,0,89.00%,516,23,174,140,62.00%,50.00%,59.00%,73.00%,7,26,11,106,103,4,3,11,11,10,972,8,7,130,117,3,0,0,1
WALES,16/03/24,HOME,ITA,1,21,3,0,3,0,0,100.00%,428,30,238,165,52.00%,69.00%,44.00%,67.00%,6,28,5,148,139,5,5,17,5,4,896,19,19,117,99,13,0,0,0
ITA,16/03/24,AWAY,WALES,4,24,2,0,1,4,0,83.00%,305,36,98,84,48.00%,31.00%,56.00%,33.00%,5,18,6,64,61,1,1,13,8,6,891,13,13,244,216,9,0,0,1
IRE,16/03/24,HOME,SCOT,4,17,2,0,2,1,0,75.00%,482,30,220,152,60.00%,57.00%,56.00%,75.00%,4,21,6,128,125,5,3,21,8,7,906,15,13,142,116,4,0,1,1
SCOT,16/03/24,AWAY,IRE,1,13,1,0,1,2,0,100.00%,342,30,132,93,40.00%,43.00%,44.00%,25.00%,4,26,4,81,79,3,3,14,8,7,904,8,6,254,233,13,0,1,1
FRA,16/03/24,HOME,ENG,4,33,3,0,3,4,0,88.00%,459,37,148,125,55.00%,62.00%,49.00%,55.00%,7,36,10,92,91,6,5,15,3,2,972,17,16,95,77,5,0,0,1
ENG,16/03/24,AWAY,FRA,2,31,4,0,4,1,0,100.00%,290,34,82,65,45.00%,38.00%,51.00%,45.00%,7,18,2,50,49,6,5,14,3,3,923,15,13,176,140,10,0,0,0
FRA,31/01/25,HOME,WALES,5,43,7,0,4,0,0,57.00%,431,28,147,143,58.00%,42.00%,71.00%,37.00%,8,27,13,104,103,9,9,15,7,5,955,15,14,193,181,3,1,0,2
WALES,31/01/25,AWAY,FRA,0,0,0,0,0,0,0,0.00%,406,26,235,158,42.00%,58.00%,29.00%,63.00%,5,12,5,128,125,3,2,14,10,9,920,8,7,212,185,12,0,2,0
SCOT,01/02/25,HOME,ITA,5,31,5,0,3,0,0,60.00%,526,28,200,162,63.00%,53.00%,64.00%,48.00%,7,30,14,128,123,5,5,13,8,5,915,13,13,147,131,8,0,0,1
ITA,01/02/25,AWAY,SCOT,0,19,1,0,1,4,0,100.00%,380,27,146,94,37.00%,47.00%,36.00%,52.00%,4,16,5,17,13,4,3,13,5,5,891,14,13,242,212,7,0,0,0
IRE,01/02/25,HOME,ENG,5,27,4,0,2,1,0,60.00%,465,31,210,125,55.00%,45.00%,49.00%,68.00%,10,26,9,96,90,3,3,16,7,5,909,23,23,186,153,8,0,0,1
ENG,01/02/25,AWAY,IRE,1,22,3,0,2,1,0,75.00%,434,38,133,107,45.00%,55.00%,51.00%,32.00%,9,33,3,90,89,3,3,16,4,3,918,15,14,182,156,11,0,1,2
ITA,08/02/25,HOME,WALES,4,22,1,0,1,5,0,67.00%,224,50,63,74,50.00%,43.00%,41.00%,69.00%,1,15,0,61,60,6,6,9,12,7,891,12,11,164,144,11,0,2,1
WALES,08/02/25,AWAY,ITA,0,15,1,1,0,1,0,50.00%,235,41,137,111,50.00%,57.00%,59.00%,31.00%,2,20,3,96,91,6,6,11,1,1,921,17,16,101,86,14,0,1,1
ENG,08/02/25,HOME,FRA,5,26,4,0,3,0,0,60.00%,484,46,118,96,45.00%,5.00%,42.00%,50.00%,8,31,5,68,66,3,3,11,10,9,914,13,10,148,123,6,0,0,0
FRA,08/02/25,AWAY,ENG,1,25,3,0,2,2,0,67.00%,607,37,150,134,55.00%,45.00%,58.00%,50.00%,9,25,9,74,70,4,4,19,5,5,955,9,9,139,108,8,0,0,1
SCOT,09/02/25,HOME,IRE,0,18,2,0,1,2,0,75.00%,337,18,192,130,51.00%,64.00%,44.00%,49.00%,4,25,9,107,103,5,3,18,6,5,915,14,13,113,99,9,0,1,1
IRE,09/02/25,AWAY,SCOT,5,32,4,0,3,2,0,83.00%,261,24,150,80,49.00%,36.00%,56.00%,51.00%,6,14,2,70,65,3,1,15,9,8,904,10,6,189,164,11,0,0,1
WALES,22/02/25,HOME,IRE,0,18,2,0,1,2,0,75.00%,362,24,251,145,62.00%,53.00%,52.00%,50.00%,6,33,13,112,106,5,5,12,4,3,913,20,19,146,133,12,0,0,1
IRE,22/02/25,AWAY,WALES,4,27,2,0,1,5,0,67.00%,221,38,160,106,38.00%,47.00%,48.00%,50.00%,2,13,8,88,86,2,2,10,8,4,910,15,13,201,168,11,1,0,0
ENG,22/02/25,HOME,SCOT,4,16,1,0,1,3,0,100.00%,322,36,102,78,44.00%,40.00%,41.00%,45.00%,2,10,3,67,63,6,4,12,6,5,908,16,16,241,206,10,0,0,2
SCOT,22/02/25,AWAY,ENG,1,15,3,0,0,0,0,0.00%,517,25,252,160,56.00%,60.00%,59.00%,55.00%,9,35,10,135,129,6,4,18,3,2,917,24,22,101,91,13,0,0,1
ITA,23/02/25,HOME,FRA,0,24,3,0,3,1,0,80.00%,363,23,125,87,39.00%,36.00%,33.00%,47.00%,9,18,4,66,61,3,3,12,5,4,893,9,9,198,164,8,0,0,0
FRA,23/02/25,AWAY,ITA,5,73,11,0,9,0,0,82.00%,677,27,247,168,61.00%,64.00%,53.00%,67.00%,15,34,27,110,109,8,7,11,5,5,932,15,15,106,88,6,0,0,1
IRE,08/03/25,HOME,FRA,0,27,3,0,3,2,0,83.00%,477,32,225,141,60.00%,56.00%,53.00%,52.00%,5,23,8,119,115,5,4,14,5,4,910,19,18,116,100,6,0,2,0
FRA,08/03/25,AWAY,IRE,5,42,5,0,4,3,0,88.00%,474,33,131,96,40.00%,44.00%,47.00%,48.00%,7,16,9,66,62,9,8,9,3,3,932,12,12,210,187,13,0,1,2
SCOT,08/03/25,HOME,WALES,5,35,5,0,5,0,0,100.00%,553,22,221,172,61.00%,51.00%,67.00%,64.00%,8,33,16,138,135,6,6,13,3,2,917,17,13,137,154,11,0,0,0
WALES,08/03/25,AWAY,SCOT,2,29,4,0,3,1,0,80.00%,472,30,186,101,39.00%,49.00%,33.00%,36.00%,3,17,1,92,86,3,3,6,6,5,913,15,15,275,242,11,0,1,0
ENG,09/03/25,HOME,ITA,5,47,7,0,6,0,0,86.00%,583,30,187,145,57.00%,58.00%,54.00%,50.00%,11,36,12,96,91,7,7,15,6,6,910,16,16,119,97,14,0,0,1
ITA,09/03/25,AWAY,ENG,0,24,3,0,3,1,0,80.00%,305,32,125,83,43.00%,42.00%,46.00%,50.00%,5,22,4,69,64,2,1,19,6,4,889,19,15,184,148,11,0,0,1
ITA,15/03/25,HOME,IRE,1,17,2,0,2,1,0,100.00%,301,28,143,95,47.00%,43.00%,50.00%,34.00%,6,28,3,78,75,2,2,11,9,8,901,16,15,193,171,10,2,1,0
IRE,15/03/25,AWAY,ITA,5,22,4,0,1,0,0,25.00%,313,18,191,122,53.00%,57.00%,50.00%,66.00%,3,22,1,95,94,4,4,21,3,3,909,15,15,157,129,4,0,0,1
WALES,15/03/25,HOME,ENG,0,14,2,0,2,0,0,100.00%,290,24,196,116,46.00%,53.00%,50.00%,61.00%,5,25,5,93,87,6,4,16,5,4,923,20,18,151,130,10,0,0,1
ENG,15/03/25,AWAY,WALES,5,68,10,0,9,0,0,90.00%,398,33,148,109,54.00%,47.00%,50.00%,39.00%,6,21,6,85,83,5,5,14,9,6,912,15,13,160,135,9,0,0,1
FRA,15/03/25,HOME,SCOT,5,35,4,0,3,3,0,86.00%,341,28,112,87,45.00%,44.00%,54.00%,48.00%,6,15,5,72,70,11,9,8,2,2,932,16,16,203,172,11,0,2,0
SCOT,15/03/25,AWAY,FRA,0,16,1,0,1,3,0,100.00%,485,23,225,140,55.00%,56.00%,46.00%,52.00%,6,31,14,115,111,5,5,16,7,5,902,16,15,138,123,12,0,1,0
